intensity,budget_sec,scale,disturbance,mean_reward_delta,feasible_rate,mean_total_online_latency,mean_solver_runtime,n
L0,0.5,mk9,mixed,0.03872875504729904,0.85,0.08634384499164298,0.02006549000070663,80
L1,0.5,mk9,mixed,0.008228755047298364,0.8,0.12192368249379797,0.05436045374226524,80
L2,0.5,mk9,mixed,0.008228755047298364,0.775,0.13043825624772581,0.062399921246105806,80
L3,0.5,mk9,mixed,0.008263994094477312,0.5375,0.24720257499866422,0.1724014437480946,80
L0,1.0,mk9,mixed,0.03872875504729904,0.85,0.08572913874813821,0.01932138499832945,80
L1,1.0,mk9,mixed,0.008228755047298364,0.8125,0.1448089837518637,0.07733456499991007,80
L2,1.0,mk9,mixed,0.008228755047298364,0.8,0.1594738087558653,0.09183241749851731,80
L3,1.0,mk9,mixed,0.008263994094477312,0.55,0.4043999250046909,0.3285429550014669,80
L0,2.0,mk9,mixed,0.03872875504729904,0.85,0.08706922000274062,0.0195566437439993,80
L1,2.0,mk9,mixed,0.03872875504729904,0.825,0.17768868874263716,0.11022717373998603,80
L2,2.0,mk9,mixed,0.008228755047298364,0.8,0.2131929487542948,0.14462731124804123,80
L3,2.0,mk9,mixed,0.008263994094477312,0.55,0.7014944150068914,0.6251351637474727,80
L0,5.0,mk9,mixed,0.03872875504729904,0.85,0.08632424125826219,0.019393796239455696,80
L1,5.0,mk9,mixed,0.03872875504729904,0.85,0.1984066162520321,0.13214667749998626,80
L2,5.0,mk9,mixed,0.008228755047298364,0.8,0.3651494637451833,0.29723288124805547,80
L3,5.0,mk9,mixed,0.008263994094477312,0.5875,1.5714335362499696,1.4958690712534009,80
L0,0.25,synthetic_100x20,arrival_only,0.0,1.0,3.3942991250031627,0.06549174100393429,100
L1,0.25,synthetic_100x20,arrival_only,-0.005111111111182254,0.9,3.4165167200029827,0.08854721499374137,100
L2,0.25,synthetic_100x20,arrival_only,-0.005111111111182254,0.9,3.4230734630022197,0.09100949900341221,100
L3,0.25,synthetic_100x20,arrival_only,0.0,0.49,3.4833806490013375,0.13701000200002456,100
L0,0.5,synthetic_100x20,arrival_only,0.0,1.0,3.405411481995834,0.0666447049973067,100
L1,0.5,synthetic_100x20,arrival_only,-0.005111111111182254,0.99,3.4375370929937343,0.10183981199981645,100
L2,0.5,synthetic_100x20,arrival_only,-0.005111111111182254,0.98,3.4371383990102915,0.10502829599543474,100
L3,0.5,synthetic_100x20,arrival_only,0.0,0.5,3.6062562779989094,0.2589758690004237,100
L0,1.0,synthetic_100x20,arrival_only,0.0,1.0,3.3927839720004704,0.06636854499811307,100
L1,1.0,synthetic_100x20,arrival_only,-0.005111111111182254,0.99,3.432649433000479,0.1036187639948912,100
L2,1.0,synthetic_100x20,arrival_only,-0.005111111111182254,0.99,3.4429987880028783,0.11491007700213231,100
L3,1.0,synthetic_100x20,arrival_only,0.0,0.51,3.8895494480011985,0.5099672580021434,100
L0,2.0,synthetic_100x20,arrival_only,0.0,1.0,3.3938519270019607,0.06588987600058317,100
L1,2.0,synthetic_100x20,arrival_only,-0.005111111111182254,1.0,175.09260125499452,0.10624802300939336,100
L2,2.0,synthetic_100x20,arrival_only,-0.005111111111182254,1.0,4.558684188000625,0.14125811699894256,100
L3,2.0,synthetic_100x20,arrival_only,0.0,0.51,4.385254342998378,1.00082171499962,100
L0,5.0,synthetic_100x20,arrival_only,0.0,1.0,3.395901561997598,0.06779967500362545,100
L1,5.0,synthetic_100x20,arrival_only,-0.005111111111182254,1.0,3.415779826004291,0.10307986000203527,100
L2,5.0,synthetic_100x20,arrival_only,-0.005111111111182254,1.0,3.4240813909866845,0.1138275769969914,100
L3,5.0,synthetic_100x20,arrival_only,0.0,0.52,5.830264096002793,2.4466000919998625,100
L0,0.25,synthetic_100x20,breakdown_only,1.8068700157426065,0.35,2.8744969240075444,0.029906766996718945,100
L1,0.25,synthetic_100x20,breakdown_only,-5.888274658824667,0.23,2.9288175280008,0.06714952499954961,100
L2,0.25,synthetic_100x20,breakdown_only,0.0,0.11,2.9451974639901892,0.0803263420064468,100
L3,0.25,synthetic_100x20,breakdown_only,0.0,0.0,2.950891583998455,0.0880088470003102,100
L0,0.5,synthetic_100x20,breakdown_only,1.8068700157426065,0.35,2.8725564590026624,0.028620752007700503,100
L1,0.5,synthetic_100x20,breakdown_only,-3.4587575445888796,0.31,2.9272884000011254,0.07931277499883435,100
L2,0.5,synthetic_100x20,breakdown_only,-5.234709299521637,0.26,2.9600983940006698,0.1092129710095469,100
L3,0.5,synthetic_100x20,breakdown_only,0.0,0.0,3.032436171994777,0.1724995309941005,100
L0,1.0,synthetic_100x20,breakdown_only,1.8068700157426065,0.35,2.8784838050114923,0.0296944029990118,100
L1,1.0,synthetic_100x20,breakdown_only,-3.4587575445888796,0.31,2.9495589779980946,0.09675182300037705,100
L2,1.0,synthetic_100x20,breakdown_only,-3.4587575445888796,0.29,2.9826499510020947,0.14350644399994053,100
L3,1.0,synthetic_100x20,breakdown_only,0.0,0.0,3.2209652899974026,0.35021606299909763,100
L0,2.0,synthetic_100x20,breakdown_only,1.8068700157426065,0.35,2.8586418169981336,0.028831116002984346,100
L1,2.0,synthetic_100x20,breakdown_only,-3.4587575445888796,0.31,2.985308809998678,0.13677105499780737,100
L2,2.0,synthetic_100x20,breakdown_only,-3.4587575445888796,0.31,3.0246520860062445,0.19000550899771043,100
L3,2.0,synthetic_100x20,breakdown_only,0.0,0.0,3.576620505999308,0.7007613990001846,100
L0,5.0,synthetic_100x20,breakdown_only,1.8068700157426065,0.35,2.8766012450004927,0.02818559700390324,100
L1,5.0,synthetic_100x20,breakdown_only,-3.4587575445888796,0.34,3.052198090989841,0.20536195999244228,100
L2,5.0,synthetic_100x20,breakdown_only,-3.4587575445888796,0.32,3.1530308649968357,0.3070913599990308,100
L3,5.0,synthetic_100x20,breakdown_only,0.0,0.0,4.641252225994831,1.7507301599986385,100
L0,0.25,synthetic_100x20,mixed,0.011510108368238434,0.65,2.2428482009988513,0.04183845050283708,200
L1,0.25,synthetic_100x20,mixed,0.29546159797901056,0.58,2.2752937095059313,0.06505069149832707,200
L2,0.25,synthetic_100x20,mixed,0.297630419779307,0.555,2.278127478005481,0.07146802800358273,200
L3,0.25,synthetic_100x20,mixed,0.0,0.27,2.3212738010031173,0.09972579199937172,200
L0,0.5,synthetic_100x20,mixed,0.011510108368238434,0.65,2.2574759304948384,0.04207171349786222,200
L1,0.5,synthetic_100x20,mixed,0.29747595185763204,0.64,2.2819301924982573,0.07370922799455001,200
L2,0.5,synthetic_100x20,mixed,0.29546159797901056,0.62,2.300815742001869,0.08780631199595518,200
L3,0.5,synthetic_100x20,mixed,0.0,0.27,2.430542376502999,0.1935679074988002,200
L0,1.0,synthetic_100x20,mixed,0.011510108368238434,0.65,2.234414498494589,0.041205487502738836,200
L1,1.0,synthetic_100x20,mixed,0.297463427271432,0.65,2.2675858049996895,0.07664691800193396,200
L2,1.0,synthetic_100x20,mixed,0.2974166100531875,0.64,2.290426558003528,0.0941666234965669,200
L3,1.0,synthetic_100x20,mixed,0.0,0.275,2.6137939710053617,0.3837353940028697,200
L0,2.0,synthetic_100x20,mixed,0.011510108368238434,0.65,2.2455307344993343,0.04169184800004586,200
L1,2.0,synthetic_100x20,mixed,0.297463427271432,0.65,2.2762704890000167,0.0762167660013074,200
L2,2.0,synthetic_100x20,mixed,0.2974166100531875,0.645,2.2990955785039113,0.0990963000006741,200
L3,2.0,synthetic_100x20,mixed,0.0,0.275,2.9934856560034677,0.7585913965007057,200
L0,5.0,synthetic_100x20,mixed,0.011510108368238434,0.65,2.24041591950343,0.041525214497814884,200
L1,5.0,synthetic_100x20,mixed,0.297463427271432,0.65,2.2875358100025913,0.07558453250210732,200
L2,5.0,synthetic_100x20,mixed,0.297463427271432,0.65,2.3002508050046164,0.09973579399927984,200
L3,5.0,synthetic_100x20,mixed,0.0,0.275,4.127868786006584,1.883768057000707,200
L0,0.25,synthetic_30x10,arrival_only,0.0,1.0,0.15771844399743715,0.02830340399988927,100
L1,0.25,synthetic_30x10,arrival_only,0.8544593207869912,0.99,0.18114212200627663,0.05176134699722752,100
L2,0.25,synthetic_30x10,arrival_only,0.8544336797613505,1.0,0.18504116300144233,0.05652212800807319,100
L3,0.25,synthetic_30x10,arrival_only,0.0,0.56,0.2645817499910481,0.12138116400572471,100
L0,0.5,synthetic_30x10,arrival_only,0.0,1.0,0.1566340130008757,0.028268731004791336,100
L1,0.5,synthetic_30x10,arrival_only,0.8544336797613505,1.0,0.18020077899564058,0.05231594099663198,100
L2,0.5,synthetic_30x10,arrival_only,0.8544593207869912,1.0,0.1849631410057191,0.05757439399138093,100
L3,0.5,synthetic_30x10,arrival_only,0.0,0.56,0.3776075860054698,0.23164912100182847,100
L0,1.0,synthetic_30x10,arrival_only,0.0,1.0,0.16318657499272377,0.029928687004139646,100
L1,1.0,synthetic_30x10,arrival_only,0.8544593207869912,1.0,0.18248054099851288,0.054497945996699854,100
L2,1.0,synthetic_30x10,arrival_only,0.8544593207869912,1.0,0.1830524899950251,0.05637186699779704,100
L3,1.0,synthetic_30x10,arrival_only,0.8584336797613651,0.57,0.5941968300007283,0.45147722300491294,100
L0,2.0,synthetic_30x10,arrival_only,0.0,1.0,0.15712139700422995,0.028943192997248842,100
L1,2.0,synthetic_30x10,arrival_only,0.8544593207869912,1.0,0.18146716499701143,0.052474142998689785,100
L2,2.0,synthetic_30x10,arrival_only,0.8544336797613505,1.0,0.18411443500313907,0.054826001001056286,100
L3,2.0,synthetic_30x10,arrival_only,0.8584336797613651,0.57,1.0267096799914726,0.8814383450068999,100
L0,5.0,synthetic_30x10,arrival_only,0.0,1.0,0.15699801299953833,0.028679220003541558,100
L1,5.0,synthetic_30x10,arrival_only,0.8544593207869912,1.0,0.1805670950107742,0.05236917299567722,100
L2,5.0,synthetic_30x10,arrival_only,0.8544593207869912,1.0,0.18691096600028687,0.059347948007052766,100
L3,5.0,synthetic_30x10,arrival_only,0.8584336797613651,0.57,2.327007626008708,2.1794563509966247,100
L0,0.25,synthetic_30x10,breakdown_only,1.4570022149883153,0.39,0.080510723994812,0.014271046998910606,100
L1,0.25,synthetic_30x10,breakdown_only,-3.1360678417913004,0.27,0.12903751699603164,0.06094293700181879,100
L2,0.25,synthetic_30x10,breakdown_only,-3.1143686832063393,0.24,0.13542457399889826,0.06616879500332289,100
L3,0.25,synthetic_30x10,breakdown_only,0.008444254684436601,0.05,0.16469769201008602,0.08698668099939823,100
L0,0.5,synthetic_30x10,breakdown_only,1.4570022149883153,0.39,0.07923037400003523,0.013568325004307553,100
L1,0.5,synthetic_30x10,breakdown_only,-3.1143686832063393,0.31,0.14766144399531186,0.08045388300088234,100
L2,0.5,synthetic_30x10,breakdown_only,-3.1143686832063393,0.29,0.15938665500376373,0.09097852700273507,100
L3,0.5,synthetic_30x10,breakdown_only,0.008444254684436601,0.05,0.24928254000260494,0.17183694899897092,100
L0,1.0,synthetic_30x10,breakdown_only,1.4570022149883153,0.39,0.07928553199395537,0.0138154949946329,100
L1,1.0,synthetic_30x10,breakdown_only,-3.1143686832063393,0.35,0.1707245729956776,0.10445473199128173,100
L2,1.0,synthetic_30x10,breakdown_only,-3.1360678417913004,0.33,0.19743451700429432,0.13089966000639833,100
L3,1.0,synthetic_30x10,breakdown_only,0.008444254684436601,0.06,0.41735968000022694,0.34040244499919936,100
L0,2.0,synthetic_30x10,breakdown_only,1.4570022149883153,0.39,0.07926915400661529,0.013945729995612055,100
L1,2.0,synthetic_30x10,breakdown_only,-3.1360678417913004,0.37,0.20166694599436596,0.13455200200434775,100
L2,2.0,synthetic_30x10,breakdown_only,-3.1143686832063393,0.35,0.2390580809954554,0.17285211700829678,100
L3,2.0,synthetic_30x10,breakdown_only,0.008444254684436601,0.06,0.746558872006135,0.6675602979969699,100
L0,5.0,synthetic_30x10,breakdown_only,1.4570022149883153,0.39,0.0801253280020319,0.013803418008610607,100
L1,5.0,synthetic_30x10,breakdown_only,-3.1143686832063393,0.38,0.24201795499771833,0.17481766299693846,100
L2,5.0,synthetic_30x10,breakdown_only,-3.1143686832063393,0.38,0.29872706899303014,0.23262510499916972,100
L3,5.0,synthetic_30x10,breakdown_only,0.008444254684436601,0.08,1.6921667520026675,1.608300291002961,100
L0,0.25,synthetic_30x10,mixed,0.544066468271576,0.69,0.0958272375020897,0.019180633999058047,200
L1,0.25,synthetic_30x10,mixed,0.47370979358805926,0.67,0.11542715499992483,0.03896179049683269,200
L2,0.25,synthetic_30x10,mixed,0.06592172204555027,0.665,0.12129687299544457,0.043005429496988656,200
L3,0.25,synthetic_30x10,mixed,0.22895771775452886,0.39,0.17171369149698876,0.08438148249697405,200
L0,0.5,synthetic_30x10,mixed,0.544066468271576,0.69,0.09641243400459644,0.018745602995622904,200
L1,0.5,synthetic_30x10,mixed,0.47371317416074815,0.69,0.11848862099519465,0.041367173496400934,200
L2,0.5,synthetic_30x10,mixed,0.0659379231310595,0.68,0.12332013749575708,0.046160975498496556,200
L3,0.5,synthetic_30x10,mixed,0.22895771775452886,0.39,0.24560371650382876,0.15925475249707233,200
L0,1.0,synthetic_30x10,mixed,0.544066468271576,0.69,0.09561582799477036,0.018719193002325482,200
L1,1.0,synthetic_30x10,mixed,0.4737259946735685,0.69,0.11771994899725541,0.04144374799390789,200
L2,1.0,synthetic_30x10,mixed,0.06592510261823918,0.685,0.12520806399872528,0.04875937250035349,200
L3,1.0,synthetic_30x10,mixed,0.22895771775452886,0.395,0.3949140705028549,0.3078917700034799,200
L0,2.0,synthetic_30x10,mixed,0.544066468271576,0.69,0.09573315800051205,0.01908281749871094,200
L1,2.0,synthetic_30x10,mixed,0.47371317416074815,0.69,0.11777955049707088,0.0401538164971862,200
L2,2.0,synthetic_30x10,mixed,0.0659379231310595,0.69,0.12614598150074016,0.048480215503950604,200
L3,2.0,synthetic_30x10,mixed,0.22895771775452886,0.395,0.6902608465019148,0.6017311810015236,200
L0,5.0,synthetic_30x10,mixed,0.544066468271576,0.69,0.09629432850575541,0.019172915502567774,200
L1,5.0,synthetic_30x10,mixed,0.4737259946735685,0.69,0.11561224400065839,0.03949056800396647,200
L2,5.0,synthetic_30x10,mixed,0.06592510261823918,0.69,0.12464414500107523,0.04803508499928284,200
L3,5.0,synthetic_30x10,mixed,0.22895771775452886,0.395,1.5794392039993546,1.4879979009984527,200
L0,0.25,synthetic_50x15,arrival_only,0.0,1.0,0.5410428660025355,0.03410623599542305,100
L1,0.25,synthetic_50x15,arrival_only,0.0,1.0,0.5645053100015502,0.05560284300823696,100
L2,0.25,synthetic_50x15,arrival_only,0.0,1.0,0.5728794789989479,0.05769048100453802,100
L3,0.25,synthetic_50x15,arrival_only,0.0,0.54,0.6610633810108993,0.12610858299536631,100
L0,0.5,synthetic_50x15,arrival_only,0.0,1.0,0.5426284490001854,0.0338334480044432,100
L1,0.5,synthetic_50x15,arrival_only,0.0,1.0,0.5598776970000472,0.054108053996460515,100
L2,0.5,synthetic_50x15,arrival_only,0.0,1.0,0.5644556850008666,0.057698950001504275,100
L3,0.5,synthetic_50x15,arrival_only,-0.10344444444439432,0.56,0.7736128150031436,0.23734324200311677,100
L0,1.0,synthetic_50x15,arrival_only,0.0,1.0,0.5491500269959215,0.03590548499720171,100
L1,1.0,synthetic_50x15,arrival_only,0.0,1.0,0.5660937579954043,0.05556559999473393,100
L2,1.0,synthetic_50x15,arrival_only,0.0,1.0,0.565108019002946,0.05878522600629367,100
L3,1.0,synthetic_50x15,arrival_only,-0.10344444444439432,0.58,0.9856743730057497,0.4521866099932231,100
L0,2.0,synthetic_50x15,arrival_only,0.0,1.0,0.5465383729932364,0.03580381100182421,100
L1,2.0,synthetic_50x15,arrival_only,0.0,1.0,0.571719952999847,0.056012483004014936,100
L2,2.0,synthetic_50x15,arrival_only,0.0,1.0,0.5711065990000498,0.060228902999078855,100
L3,2.0,synthetic_50x15,arrival_only,-0.10344444444439432,0.58,1.4082288419920952,0.8741496690013446,100
L0,5.0,synthetic_50x15,arrival_only,0.0,1.0,0.5413590799982194,0.034849720001220705,100
L1,5.0,synthetic_50x15,arrival_only,0.0,1.0,0.5703617550071794,0.05542194799985736,100
L2,5.0,synthetic_50x15,arrival_only,0.0,1.0,0.571413311001379,0.059127099993638695,100
L3,5.0,synthetic_50x15,arrival_only,-0.10344444444439432,0.59,2.651812175002415,2.114688768995693,100
L0,0.25,synthetic_50x15,breakdown_only,0.14644861747488902,0.4,0.3480037010030355,0.01714071200345643,100
L1,0.25,synthetic_50x15,breakdown_only,0.009372036385320826,0.3,0.39294705900363625,0.05976183399907313,100
L2,0.25,synthetic_50x15,breakdown_only,0.00478497224576131,0.23,0.39921326900250276,0.06517502999748104,100
L3,0.25,synthetic_50x15,breakdown_only,0.004789890237589134,0.09,0.42133737700176427,0.08058328800019808,100
L0,0.5,synthetic_50x15,breakdown_only,0.14644861747488902,0.4,0.34029464300954715,0.016620629000244663,100
L1,0.5,synthetic_50x15,breakdown_only,0.009372036385320826,0.33,0.4057648649998009,0.07885073100333102,100
L2,0.5,synthetic_50x15,breakdown_only,0.0067566517699015095,0.3,0.4231977629987523,0.09404128200141713,100
L3,0.5,synthetic_50x15,breakdown_only,0.00478497224576131,0.1,0.49864212500397115,0.15570654500159434,100
L0,1.0,synthetic_50x15,breakdown_only,0.14644861747488902,0.4,0.34865115000051444,0.01710158699657768,100
L1,1.0,synthetic_50x15,breakdown_only,0.009372036385320826,0.37,0.4361291439936031,0.1040924899908714,100
L2,1.0,synthetic_50x15,breakdown_only,0.009372036385320826,0.32,0.4712459489994217,0.1388503589981701,100
L3,1.0,synthetic_50x15,breakdown_only,0.00478497224576131,0.1,0.6501719780021813,0.3048977189976722,100
L0,2.0,synthetic_50x15,breakdown_only,0.14644861747488902,0.4,0.34145286200684494,0.017553465995006262,100
L1,2.0,synthetic_50x15,breakdown_only,0.009372036385320826,0.38,0.4608244149968959,0.1357216400047764,100
L2,2.0,synthetic_50x15,breakdown_only,0.009372036385320826,0.34,0.5305812529870308,0.2039458039915189,100
L3,2.0,synthetic_50x15,breakdown_only,0.00478497224576131,0.1,0.9566336619958747,0.6051128869922832,100
L0,5.0,synthetic_50x15,breakdown_only,0.14644861747488902,0.4,0.3453646169998683,0.017339739004382862,100
L1,5.0,synthetic_50x15,breakdown_only,0.009372036385320826,0.39,0.4920282480074093,0.16481741500319913,100
L2,5.0,synthetic_50x15,breakdown_only,0.009372036385320826,0.34,0.7079829050065019,0.37805235300329515,100
L3,5.0,synthetic_50x15,breakdown_only,0.00478497224576131,0.1,1.8550489759980702,1.5048210409993772,100
L0,0.25,synthetic_50x15,mixed,0.30699329508133816,0.71,0.3509565824974561,0.025446368500124664,200
L1,0.25,synthetic_50x15,mixed,0.23845500453655405,0.675,0.3787012540030992,0.05474495199858211,200
L2,0.25,synthetic_50x15,mixed,0.24505296900704707,0.645,0.3844046685053036,0.05908120799576864,200
L3,0.25,synthetic_50x15,mixed,0.5266998147185222,0.35,0.44005859150027393,0.10002321900276001,200
L0,0.5,synthetic_50x15,mixed,0.30699329508133816,0.71,0.3500818029994843,0.023884884000290187,200
L1,0.5,synthetic_50x15,mixed,0.23845500453655405,0.69,0.38790025950118434,0.06298352850019001,200
L2,0.5,synthetic_50x15,mixed,0.2371473122288444,0.675,0.3937901230005082,0.07058603599783965,200
L3,0.5,synthetic_50x15,mixed,0.524699814718515,0.36,0.529702611498069,0.18846024350146762,200
L0,1.0,synthetic_50x15,mixed,0.30699329508133816,0.71,0.3510482135025086,0.024143277999246492,200
L1,1.0,synthetic_50x15,mixed,0.23845500453655405,0.7,0.39543937850394284,0.07083081100718118,200
L2,1.0,synthetic_50x15,mixed,0.23845500453655405,0.685,0.40800188450491987,0.08491596049396322,200
L3,1.0,synthetic_50x15,mixed,0.5253760385994974,0.37,0.7025115335010923,0.3609169179998571,200
L0,2.0,synthetic_50x15,mixed,0.30699329508133816,0.71,0.3499315989977913,0.024517518496722915,200
L1,2.0,synthetic_50x15,mixed,0.24636066131475673,0.7,0.408181328997016,0.08433800700469873,200
L2,2.0,synthetic_50x15,mixed,0.23845500453655405,0.69,0.4320669740007725,0.10877311349846423,200
L3,2.0,synthetic_50x15,mixed,0.5253735796035834,0.375,1.0414014564972605,0.6958324805030134,200
L0,5.0,synthetic_50x15,mixed,0.30699329508133816,0.71,0.3471590379992267,0.024859311994514428,200
L1,5.0,synthetic_50x15,mixed,0.23845500453655405,0.705,0.4309682894987054,0.10921869099838659,200
L2,5.0,synthetic_50x15,mixed,0.23845500453655405,0.69,0.4938739795051515,0.1669511864997912,200
L3,5.0,synthetic_50x15,mixed,0.5235476162481427,0.385,2.0307270839979172,1.6842497080017347,200
