intensity,budget_sec,scale,disturbance,mean_reward_delta,feasible_rate,mean_total_online_latency,mean_solver_runtime,n
L0,1.0,mk7,breakdown_only,4.511660778234727e-05,0.5,0.023814752502948976,0.012495417494210414,40
L1,1.0,mk7,breakdown_only,4.511660778234727e-05,0.3,0.24076197751273867,0.22449297750135883,40
L2,1.0,mk7,breakdown_only,4.511660778234727e-05,0.3,0.24661764749907888,0.22940728499961552,40
L3,1.0,mk7,breakdown_only,4.511660778234727e-05,0.175,0.3478513049834874,0.3276987024961272,40
L0,2.0,mk7,breakdown_only,4.511660778234727e-05,0.5,0.023789637512527405,0.012405019992729648,40
L1,2.0,mk7,breakdown_only,4.511660778234727e-05,0.3,0.43945332499279177,0.4231421375006903,40
L2,2.0,mk7,breakdown_only,4.511660778234727e-05,0.3,0.44853868749924003,0.4313887650030665,40
L3,2.0,mk7,breakdown_only,4.511660778234727e-05,0.175,0.6730303800082765,0.652641589997802,40
L0,5.0,mk7,breakdown_only,4.511660778234727e-05,0.5,0.02388167500612326,0.012628542492166162,40
L1,5.0,mk7,breakdown_only,4.511660778234727e-05,0.375,0.8675735849916236,0.852140907489229,40
L2,5.0,mk7,breakdown_only,4.511660778234727e-05,0.325,1.0187454024940963,1.0030041450052523,40
L3,5.0,mk7,breakdown_only,4.511660778234727e-05,0.2,1.6351157600001898,1.614668727494427,40
L0,0.25,mk7,mixed,-0.100691566075335,0.8625,0.035968063746986446,0.020029923754918855,80
L1,0.25,mk7,mixed,-0.49484538652985177,0.6875,0.0977177187509369,0.07831661125092068,80
L2,0.25,mk7,mixed,-0.5276428442424106,0.6375,0.10263447125325911,0.08258975374919827,80
L3,0.25,mk7,mixed,-0.0015248994086675793,0.4875,0.13031965875416063,0.10624221374164336,80
L0,0.5,mk7,mixed,-0.100691566075335,0.8625,0.03638436000765068,0.020574399996257854,80
L1,0.5,mk7,mixed,-0.8497567290789447,0.7125,0.13738461500615812,0.11844608249812154,80
L2,0.5,mk7,mixed,-0.49639284424241054,0.7,0.14686870124278356,0.12717060499999205,80
L3,0.5,mk7,mixed,-0.0015248994086675793,0.5,0.22178985874488716,0.19765457000175957,80
L0,1.0,mk7,mixed,-0.100691566075335,0.8625,0.036284781256108546,0.020273477499722505,80
L1,1.0,mk7,mixed,-0.848209271366386,0.7375,0.20278164499177365,0.18388835500081768,80
L2,1.0,mk7,mixed,-0.8497567290789447,0.725,0.21940367499628338,0.2003919162481907,80
L3,1.0,mk7,mixed,-0.0015248994086675793,0.5,0.4048851087442017,0.3804034824992414,80
L0,2.0,mk7,mixed,-0.100691566075335,0.8625,0.036172487497969995,0.020211713746539316,80
L1,2.0,mk7,mixed,-0.8497567290789447,0.75,0.3218104450090323,0.30324823999835643,80
L2,2.0,mk7,mixed,-0.8497567290789447,0.7375,0.347233306254202,0.3282123849989148,80
L3,2.0,mk7,mixed,-0.0015248994086675793,0.5125,0.7652135899916175,0.739585389997228,80
L0,5.0,mk7,mixed,-0.09914410836277625,0.8625,0.035942378747859036,0.020135714999923948,80
L1,5.0,mk7,mixed,-0.8497567290789447,0.7875,0.5751569674932397,0.5572190712511655,80
L2,5.0,mk7,mixed,-0.7497567290789448,0.775,0.6293888750049519,0.611276678746799,80
L3,5.0,mk7,mixed,-0.0006915660753350039,0.5375,1.7492271650015028,1.7236070275044768,80
L0,0.25,mk8,arrival_only,0.0,1.0,0.07100413000734988,0.01842869500396773,40
L1,0.25,mk8,arrival_only,0.0,1.0,0.07345144000137224,0.02103016999317333,40
L2,0.25,mk8,arrival_only,-0.009999999999990905,1.0,0.07274207250156906,0.019677350000711157,40
L3,0.25,mk8,arrival_only,0.0,0.625,0.16381885499868076,0.10281553249806166,40
L0,0.5,mk8,arrival_only,0.0,1.0,0.0698999824904604,0.0176437850081129,40
L1,0.5,mk8,arrival_only,0.014642857142848697,1.0,0.072263752494473,0.02026393500273116,40
L2,0.5,mk8,arrival_only,-0.009999999999990905,1.0,0.07252453250694088,0.019822904991451652,40
L3,0.5,mk8,arrival_only,0.0,0.625,0.2575265199877322,0.19695091750181745,40
L0,1.0,mk8,arrival_only,0.0,1.0,0.06967395499814302,0.017212942501646466,40
L1,1.0,mk8,arrival_only,0.014642857142848697,1.0,0.07216612249903846,0.019874697498744355,40
L2,1.0,mk8,arrival_only,-0.009999999999990905,1.0,0.0721536124969134,0.01948370500758756,40
